country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
Czech Republic,0.07560574116580776,0.015776704773017215,0.054416894086596765,0.017499305371602596,0.013399362102944297,0.009747828919181743,77.16344449858245,0.44984219177636897,12.648401453340977,0.4372704200319255,9.10758438464684,0.007011215202280142,50227.96772727273
Denmark,0.12213600400978258,0.026848369015724793,0.04637646262004338,0.018355882332780755,0.015125204989789046,0.008475665714025112,82.23075000957743,0.22989218221499616,6.010831316253855,0.38596449101871705,10.903500288038067,0.0017441242147814015,95119.37199999999
Djibouti,0.25510864895138374,0.05731607717453475,0.14113153548430896,0.03653341646397617,0.042399009816383115,0.004168441976329799,69.11376541616384,1.0695031127840458,19.09613886152108,0.4973546769472356,9.671693509944264,0.014887292772606427,33585.69
Dominica,0.1322700384922555,0.026491214460333593,0.059121544631278194,0.05646126115668009,0.026528421222216082,0.013766501896521672,93.15135134028989,0.2070928366379449,0.4669262582443209,0.7073005433861539,5.1061815872293,0.04650845235311375,53753.67
Dominican Republic,0.17705385242711982,0.041529193675832944,0.08843351949386918,0.038718500565138966,0.045449445396186575,0.016040481226891033,78.62946811043639,0.39474245842636735,14.013999799147248,0.7967366749087247,5.728594491539672,0.029233472756543255,27176.433846153846
Ecuador,0.08165189649499126,0.02168054617472346,0.042086948561701955,0.014641829522035266,0.02159086129645986,0.00895302491631473,85.47036007550848,0.1920416113094487,9.655181744859508,0.4980556936908853,3.9783732647522343,0.015382502913212253,46193.485714285714
Egypt,0.05727466058445928,0.015355519526381709,0.04032537973672266,0.008331215897583077,0.028314100384211217,0.0055312892917611526,91.58234878692724,0.10919014130869968,4.549542112652227,0.4326453307781658,3.14176532140198,0.029376141510557462,34031.50428571429
El Salvador,0.07275925463479306,0.023534052244226392,0.05970253505797685,0.0340227981280499,0.038051663521945105,0.008696870906935264,89.92316850974895,0.22067453935117232,3.370893467668412,0.6506902941551093,5.565460959267144,0.03234505531529467,43808.86
Equatorial Guinea,0.22035532522083584,0.04775761801364123,0.07667175895069268,0.08063102484036848,0.02794486007609347,0.006341396819148785,89.24568099126876,0.8693627898334593,3.3091248593105256,1.5108788633851198,4.605250512281364,0.0,30434.935
Eritrea,0.546796258610396,0.13866509170513125,0.2755647713630907,0.19082499309884382,0.06275237367674343,0.040123001072086585,0.16691168445988022,0.4830809329079226,12.614671537064023,1.6049200428834633,83.87568931315842,0.0,6230.84
Estonia,0.09039860974451491,0.023833421180160373,0.04920419298924745,0.01566213340150716,0.01977469588161264,0.00925102236433909,73.01595367669441,0.41494110399272244,19.96598686507363,0.44105064157096296,5.94964264449133,0.004300992615557584,55723.57083333333
Ethiopia,0.05119942107208032,0.006547037531091094,0.03777057392739111,0.01187923204112575,0.014398650806384843,0.0035202837541976366,71.53110289765254,0.5502272532982555,22.77424796471516,0.22381066781957107,4.77421572996,0.021080287422195258,48291.56166666667
Falkland Islands,0.9369057194240424,0.18745860611874185,0.6900594006230546,0.0,0.1460163109643919,0.15879757956339702,31.899593452375573,9.957382860964326,7.669923092912077,0.7145891080352866,47.639273869019114,0.0,7745.71
